Framework,Framework ID,Supplier Name,Supplier Company House No,Member trusts NHS Org Code (ODS),Member trust name,Framework Organisation,MI Reporting Month,Invoice Date,ABI,MI Value (Ex VAT)
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2021_10,10/11/2021,5.34,106.89
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2021_10,01/09/2021,53.66,1073.13
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2021_11,25/11/2021,35.3,706.06
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_01,08/02/2022,52.56,1051.21
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_03,16/03/2022,20.72,414.4
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_03,09/03/2022,96.06,1921.24
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_03,10/03/2022,25.1,502.09
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2021_08,05/08/2021,0,39309.68
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2021_12,05/01/2022,277.63,5552.68
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_03,21/03/2022,0,29507.5
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2021_10,11/11/2021,60,1199.91
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2021_11,23/11/2021,100.18,2003.56
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_01,09/02/2022,36.73,734.66
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_03,15/03/2022,8.98,179.67
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_03,23/03/2022,175.31,3506.2
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2021_09,16/09/2021,23.73,474.61
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2021_10,09/11/2021,113.91,2278.18
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2021_11,30/11/2021,100.86,2017.29
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_01,08/02/2022,106.02,2120.35
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_03,30/03/2022,189.26,3785.14
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_03,04/03/2022,223.9,4478.03
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_03,16/03/2022,250.57,5011.35
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2021_10,12/10/2021,0,8703.51
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2021_10,23/10/2021,1910.16,38203.24
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2021_11,03/11/2021,0,1493.51
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2021_12,05/12/2021,442.96,8859.23
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_01,06/01/2022,171.36,3427.21
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_03,24/03/2022,0,26894.21
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2021_12,03/12/2021,0,23266.69
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_01,18/01/2022,0,720
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_03,31/03/2022,0,2702.02
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_03,03/03/2022,145.45,2909.08
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2021_10,06/10/2021,611.18,12223.58
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2021_10,27/10/2021,650.71,13014.21
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2022_01,11/01/2022,68.73,1374.67
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2022_02,24/02/2022,0,12218.2
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,R1F,Isle of Wight NHS Trust,2019/S 239-586725-R1F,2021_07,31/07/2021,197.47,3949.43
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2021_11,24/11/2021,332.95,6658.98
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,REP,Liverpool Women's NHS Foundation Trust,2019/S 239-586725-REP,2021_08,31/08/2021,0,9545.22
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,REP,Liverpool Women's NHS Foundation Trust,2019/S 239-586725-REP,2021_10,29/10/2021,5.34,106.8
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,REP,Liverpool Women's NHS Foundation Trust,2019/S 239-586725-REP,2021_11,30/11/2021,8.67,173.38
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,REP,Liverpool Women's NHS Foundation Trust,2019/S 239-586725-REP,2022_02,28/02/2022,55.36,1107.14
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2021_12,31/12/2021,144.03,2880.68
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2022_01,31/01/2022,26.2,524.04
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RKE,Whittington Health NHS Trust,2019/S 239-586725-RKE,2021_09,23/09/2021,321.55,6430.95
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RM1,Norfolk & Norwich University Hospitals NHS Foundation Trust,2019/S 239-586725-RM1,2021_04,30/04/2021,0,6574.76
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RM1,Norfolk & Norwich University Hospitals NHS Foundation Trust,2019/S 239-586725-RM1,2021_05,28/05/2021,85.51,1710.29
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RM1,Norfolk & Norwich University Hospitals NHS Foundation Trust,2019/S 239-586725-RM1,2021_06,30/06/2021,39.25,785.01
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RM1,Norfolk & Norwich University Hospitals NHS Foundation Trust,2019/S 239-586725-RM1,2021_07,30/07/2021,34.96,699.29
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RM1,Norfolk & Norwich University Hospitals NHS Foundation Trust,2019/S 239-586725-RM1,2021_09,30/09/2021,0,800.94
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RM1,Norfolk & Norwich University Hospitals NHS Foundation Trust,2019/S 239-586725-RM1,2021_11,30/11/2021,4.23,84.6
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2021_04,30/04/2021,38.52,770.31
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2021_05,28/05/2021,4.87,97.3
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2021_06,30/06/2021,7.16,143.14
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2021_08,31/08/2021,687.6,13752.04
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2021_09,30/09/2021,0,1141.77
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2021_10,29/10/2021,0,7733.07
