Framework,Framework ID,Supplier Name,Supplier Company House No,Member trusts NHS Org Code (ODS),Member trust name,Framework Organisation,MI Reporting Month,Invoice Date,ABI,MI Value (Ex VAT)
Analysis and Reconciliation,2019/S 239-586725,Axiom Utilities,0,0,NHS Forth Valley,2019/S 239-586725-000,2022_11,24/05/2022,1628.64,32572.81
Analysis and Reconciliation,2019/S 239-586725,Axiom Utilities,0,VPT,West Midlands Police,2019/S 239-586725-VPT,2022_11,14/12/2022,271.06,5421.29
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_04,12/05/2022,16.39,327.88
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_07,09/08/2022,6.7,133.96
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_07,20/07/2022,6.95,139.08
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_07,08/08/2022,62.16,1243.27
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_08,07/09/2022,11.42,228.47
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_09,12/10/2022,704.23,14084.67
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2022_11,08/11/2022,3.21,64.28
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1C,Solent NHS Trust,2019/S 239-586725-R1C,2023_01,21/12/2022,24.18,483.69
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_04,06/05/2022,5.58,111.58
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276 R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_04,12/05/2022,210.55,4211.06
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_06,13/07/2022,220.92,4418.36
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_07,20/07/2022,3.05,61.07
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_07,05/08/2022,72.01,1440.23
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_08,20/09/2022,1.1,22
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_09,10/10/2022,305.8,6115.93
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,R1D,Shropshire Community Health NHS Trust,2019/S 239-586725-R1D,2022_11,08/11/2022,11.61,232.22
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_04,12/05/2022,115.83,2316.63
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_04,06/05/2022,353.7,7074.08
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_06,10/06/2022,404.85,8097.01
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_07,22/07/2022,75.85,1516.91
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_07,05/08/2022,1437.74,28754.71
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RA7,University Hospitals Bristol NHS Foundation Trust,2019/S 239-586725-RA7,2022_09,17/10/2022,899.49,35979.72
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RAL,Royal Free London NHS Foundation Trust,2019/S 239-586725-RAL,2022_07,19/07/2022,7.22,144.33
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RAL,Royal Free London NHS Foundation Trust,2019/S 239-586725-RAL,2022_07,09/08/2022,12.51,250.18
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RAL,Royal Free London NHS Foundation Trust,2019/S 239-586725-RAL,2022_07,14/07/2022,690.94,13818.77
